url,condition1,url_images,price,category,title
https://articulo.mercadolibre.com.co/MCO-452485007-forro-sillin-asiento-galapago-silicona-spinning-bicicletas-_JM,71,https://http2.mlstatic.com/forro-sillin-asiento-galapago-silicona-spinning-bicicletas-D_NQ_NP_741251-MCO25692412501_062017-O.jpg,19900,Bicicletas y Ciclismo,Forro Sillín Asiento Galapago Silicona Spinning Bicicletas
https://articulo.mercadolibre.com.co/MCO-452535406-3k-de-carbono-mtb-montana-ruta-bici-manillar-plano-integrada-_JM,4,,209000,Bicicletas y Ciclismo,3k De Carbono Mtb Montaña Ruta Bici Manillar Plano Integrada
https://articulo.mercadolibre.com.co/MCO-448002370-manubrio-integrado-rxlsl-fibra-de-carbono-para-bici-de-ruta-_JM,11,,300000,Bicicletas y Ciclismo,Manubrio Integrado Rxlsl Fibra De Carbono Para Bici De Ruta
https://articulo.mercadolibre.com.co/MCO-456257092-juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-_JM,2,"https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_655824-MCO26014448489_092017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_761841-MCO25865182002_082017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_604655-MCO25869519699_082017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_627696-MCO25869515499_082017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_865680-MCO25761622244_072017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_766326-MCO25761620335_072017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_911896-MCO25761620344_072017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_974464-MCO25865164498_082017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_655469-MCO26014462325_092017-O.jpg,https://http2.mlstatic.com/juego-rines-schwalbe-con-manzanas-para-cassette-y-armados-D_NQ_NP_958886-MCO26008058635_092017-O.jpg",300000,Bicicletas y Ciclismo,Juego Rines Schwalbe Con Manzanas Para Cassette Y Armados.
https://articulo.mercadolibre.com.co/MCO-453538534-ruedas-shimano-mt-15-rin-26-disco-center-look-_JM,2,"https://http2.mlstatic.com/ruedas-shimano-mt-15-rin-26-disco-center-look-D_NQ_NP_765651-MCO25837279829_082017-O.jpg,https://http2.mlstatic.com/ruedas-shimano-mt-15-rin-26-disco-center-look-D_NQ_NP_954851-MCO25837281214_082017-O.jpg,https://http2.mlstatic.com/ruedas-shimano-mt-15-rin-26-disco-center-look-D_NQ_NP_664778-MCO25837279376_082017-O.jpg,https://http2.mlstatic.com/ruedas-shimano-mt-15-rin-26-disco-center-look-D_NQ_NP_705606-MCO25837285047_082017-O.jpg,https://http2.mlstatic.com/ruedas-shimano-mt-15-rin-26-disco-center-look-D_NQ_NP_986050-MCO25837280777_082017-O.jpg",289900,Bicicletas y Ciclismo,Ruedas Shimano Mt-15 Rin 26 Disco Center Look
https://articulo.mercadolibre.com.co/MCO-455490708-frenos-hidraulicos-bicicleta-juego-completo-delanterotraser-_JM,6,https://http2.mlstatic.com/frenos-hidraulicos-bicicleta-juego-completo-delantero-traser-D_NQ_NP_763989-MCO25942727602_092017-O.jpg,99900,Bicicletas y Ciclismo,Frenos Hidráulicos Bicicleta Juego Completo Delantero+traser
https://articulo.mercadolibre.com.co/MCO-452472775-grupo-shimano-deore-xt-biplato-11-velocidades-hidraulico-_JM,1,https://http2.mlstatic.com/grupo-shimano-deore-xt-biplato-11-velocidades-hidraulico-D_NQ_NP_929325-MCO25424949791_032017-O.jpg,2720000,Bicicletas y Ciclismo,Grupo Shimano Deore Xt Biplato 11 Velocidades Hidraulico
https://articulo.mercadolibre.com.co/MCO-452185743-grupo-shimano-105-ruta-11-velocidades-_JM,1,https://http2.mlstatic.com/grupo-shimano-105-ruta-11-velocidades-D_NQ_NP_458325-MCO25422068209_032017-O.jpg,1954000,Bicicletas y Ciclismo,Grupo Shimano 105 Ruta 11 Velocidades
https://articulo.mercadolibre.com.co/MCO-455358211-doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-_JM,2,"https://http2.mlstatic.com/doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-D_NQ_NP_966577-MCO25663021570_062017-O.jpg,https://http2.mlstatic.com/doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-D_NQ_NP_954406-MCO25663022582_062017-O.jpg,https://http2.mlstatic.com/doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-D_NQ_NP_808593-MCO25663021576_062017-O.jpg,https://http2.mlstatic.com/doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-D_NQ_NP_780600-MCO25663021583_062017-O.jpg,https://http2.mlstatic.com/doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-D_NQ_NP_947932-MCO25663022590_062017-O.jpg,https://http2.mlstatic.com/doble-plato-sram-apex-53-39-biela-170mm-incluye-cjas-de-cent-D_NQ_NP_669729-MCO25663022597_062017-O.jpg",319990,Bicicletas y Ciclismo,Doble Plato Sram Apex 53-39 Biela 170mm Incluye Cjas De Cent
https://articulo.mercadolibre.com.co/MCO-452757129-pedales-shimano-pdm-530-_JM,95,"https://http2.mlstatic.com/pedales-shimano-pdm-530-D_NQ_NP_701705-MCO25063616452_092016-O.jpg,https://http2.mlstatic.com/pedales-shimano-pdm-530-D_NQ_NP_187605-MCO25063620170_092016-O.jpg",118440,Bicicletas y Ciclismo,Pedales Shimano Pdm-530
